keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Eis Frost',-0.022679301669499274,1.2461785347117698,-0.5833472997901565,0.11166544163105542,6.0
'Eis Unfälle',-0.18015558410305657,0.8013079930562325,0.09674302189339588,0.9042928580139395,16.0
'Frost Verspätung',0.19867985355975662,1.0,-0.8429272304235245,1.0,1.0
'Frost',0.4443354836102787,1.0189476011314924,0.267196030899516,0.9703396181596743,13.0
'Glatteis Feuerwehr',-0.7273529521392444,0.9250338789141065,-0.486707351341839,0.16476840485307728,2.0
'Glatteis',-0.16518650678895558,0.910486253901291,0.02002610205263162,1.0671056104799999,45.0
'Glätte',-0.16789454570486217,1.0437678206631993,-0.12557308009778767,0.9160917683234473,74.0
'Kälteeinbruch',-0.046047421631175825,0.13915440415965932,-0.24548568290366488,0.3471691821307839,2.0
'Schnee Eis',0.09094396489652082,0.7725340847693708,-0.06840313183925037,0.6276932541340887,29.0
'Schnee Klimawandel',0.005702192735811591,0.72084295283985,0.36856772454424075,0.9439341502080943,6.0
'Schnee Luftmassengrenze',-0.3803727259027911,0.9259290282300543,-0.20632954310308,0.402544326086948,2.0
'Schnee Rodeln',-0.11338467475873404,0.05675161417574233,1.5578781106778914,2.726712084966086,2.0
'Schnee Räumfahrzeug',-0.47584747161045193,1.0,-0.3701984949449376,1.0,1.0
'Schnee Ski',0.5699063474581846,0.933102433913706,0.2839291357567684,1.3816708803327573,15.0
'Schnee Sperrung',-0.18216597893010786,1.0,-0.3701984949449376,1.0,1.0
'Schnee Verkehr',-0.03405300863363688,0.8284090735180751,0.4132134316133822,1.3054820903952842,12.0
'Schnee Wetterdienst',-0.2737773553974496,0.779779288611893,-0.16847977211575463,0.6036327570303264,12.0
'Schnee Wetterlage',0.7623375561152388,0.9174941405173481,-0.5499736423004117,0.20715960566596422,6.0
'Schnee Winterdienst',-0.20786166513144816,0.44132464058992615,0.24559599565901702,1.3865999480664848,5.0
'Schnee streuen',0.08990585562407316,0.8713473312885816,1.7241483828897095,0.46314140014159505,2.0
'Schneefall',0.4903381738089789,0.882210453367304,0.16437166501542083,1.091651453932329,23.0
'glatte Straßen',-0.09318111776028923,1.284343782994239,-0.17101148925540677,0.7390754172843215,25.0
